,Id,URL,Level,Unit-Time,Solution
0,0,http://www.sudoku.org.uk/DailySudoku.asp?solution=please&day=3/12/2019,Moderate,minutes,296183547875429136431576982958364271714952368362718459527841693143697825689235714
1,1,http://www.sudoku.org.uk/DailySudoku.asp?solution=please&day=2/12/2019,Gentle,minutes,987163425431752869625984371849516732162379548753428916294635187376891254518247693
2,2,http://www.sudoku.org.uk/DailySudoku.asp?solution=please&day=1/12/2019,Diabolical,minutes,864123975325967184917548623289734561746215839153896247498671352571382496632459718
3,3,http://www.sudoku.org.uk/DailySudoku.asp?solution=please&day=30/11/2019,Moderate,minutes,154763982328945671796218345972634158843571296561829734419382567237456819685197423
4,4,http://www.sudoku.org.uk/DailySudoku.asp?solution=please&day=29/11/2019,Diabolical,minutes,512638947763942581984751623421895376357126894896374215645287139279513468138469752
5,5,http://www.sudoku.org.uk/DailySudoku.asp?solution=please&day=28/11/2019,Tough,minutes,235967418498312756671548239129654873387291564564873192942735681713486925856129347
6,6,http://www.sudoku.org.uk/DailySudoku.asp?solution=please&day=27/11/2019,Moderate,minutes,163782459528943671947165238812697543436258197795431862389524716274316985651879324
7,7,http://www.sudoku.org.uk/DailySudoku.asp?solution=please&day=26/11/2019,Moderate,minutes,358462179274981563619375482561894237483127695792653814136249758925718346847536921
8,8,http://www.sudoku.org.uk/DailySudoku.asp?solution=please&day=25/11/2019,Gentle,minutes,239641785781952634564387129958134276423576891176829453892465317617293548345718962
9,9,http://www.sudoku.org.uk/DailySudoku.asp?solution=please&day=24/11/2019,Diabolical,minutes,413529768675843912829167354268394571397215846541678293184952637936781425752436189
10,10,http://www.sudoku.org.uk/DailySudoku.asp?solution=please&day=23/11/2019,Moderate,minutes,861735429397124586452896173135978642649253718728641935974362851216587394583419267
11,11,http://www.sudoku.org.uk/DailySudoku.asp?solution=please&day=22/11/2019,Diabolical,minutes,178935246429716385563842971957261834846357129231489657312674598795128463684593712
12,12,http://www.sudoku.org.uk/DailySudoku.asp?solution=please&day=21/11/2019,Tough,minutes,289534176347162985561978342175389264824716593936245718718423659493651827652897431
13,13,http://www.sudoku.org.uk/DailySudoku.asp?solution=please&day=20/11/2019,Moderate,minutes,816395427394728615572146893628951374749283561135674289987532146451867932263419758
14,14,http://www.sudoku.org.uk/DailySudoku.asp?solution=please&day=19/11/2019,Moderate,minutes,674231958195846273283579614752318469438697125916425837561983742349762581827154396
15,15,http://www.sudoku.org.uk/DailySudoku.asp?solution=please&day=18/11/2019,Gentle,minutes,965843127418627359327159468851396274673412985294785631536971842749268513182534796
16,16,http://www.sudoku.org.uk/DailySudoku.asp?solution=please&day=17/11/2019,Diabolical,minutes,765349182324168795981752346147835629652974831893216574576423918219587463438691257
17,17,http://www.sudoku.org.uk/DailySudoku.asp?solution=please&day=16/11/2019,Moderate,minutes,263849175149357628857126439716435892938762514524918367671284953382591746495673281
18,18,http://www.sudoku.org.uk/DailySudoku.asp?solution=please&day=15/11/2019,Diabolical,minutes,482695137739142856165837429916358742273419685854276391627983514391564278548721963
19,19,http://www.sudoku.org.uk/DailySudoku.asp?solution=please&day=14/11/2019,Tough,minutes,748632159365981247921547386834156972276493518159278463592864731617325894483719625
20,20,http://www.sudoku.org.uk/DailySudoku.asp?solution=please&day=13/11/2019,Moderate,minutes,176392485439158672258467319847539261391726548625841937512684793984273156763915824
21,21,http://www.sudoku.org.uk/DailySudoku.asp?solution=please&day=12/11/2019,Moderate,minutes,875693142291457683643218579126874935389165427754932861912386754467521398538749216
22,22,http://www.sudoku.org.uk/DailySudoku.asp?solution=please&day=11/11/2019,Gentle,minutes,658314297294567381713298465365729148471835926829146753932681574546973812187452639
23,23,http://www.sudoku.org.uk/DailySudoku.asp?solution=please&day=10/11/2019,Diabolical,minutes,967482315415793628238165749743258196529641873681937254876519432194326587352874961
24,24,http://www.sudoku.org.uk/DailySudoku.asp?solution=please&day=9/11/2019,Moderate,minutes,318946527765832419294517638583294176927168345641375892159623784872451963436789251
25,25,http://www.sudoku.org.uk/DailySudoku.asp?solution=please&day=8/11/2019,Diabolical,minutes,537426198964178325218935674352847916681259437479613852845791263796382541123564789
26,26,http://www.sudoku.org.uk/DailySudoku.asp?solution=please&day=7/11/2019,Tough,minutes,436975182581432769972861534617594328254386917893217645349658271125743896768129453
27,27,http://www.sudoku.org.uk/DailySudoku.asp?solution=please&day=6/11/2019,Moderate,minutes,598431627674852193132796584267913458843527961951684372715249836386175249429368715
28,28,http://www.sudoku.org.uk/DailySudoku.asp?solution=please&day=5/11/2019,Moderate,minutes,549136278862479531137852694613584927498327165275961483321648759754293816986715342
29,29,http://www.sudoku.org.uk/DailySudoku.asp?solution=please&day=4/11/2019,Gentle,minutes,124736985869452173357198426913275864576984312482613597735821649241569738698347251
30,30,http://www.sudoku.org.uk/DailySudoku.asp?solution=please&day=3/11/2019,Diabolical,minutes,926351748754628931183947265391872654562493187847165392675289413418736529239514876
31,31,http://www.sudoku.org.uk/DailySudoku.asp?solution=please&day=2/11/2019,Moderate,minutes,947635182183472659265918347614789523328561794579243861736894215892157436451326978
32,32,http://www.sudoku.org.uk/DailySudoku.asp?solution=please&day=1/11/2019,Diabolical,minutes,581694723246387519397125846864273951952816437173459682629538174718942365435761298
33,33,http://www.sudoku.org.uk/DailySudoku.asp?solution=please&day=31/10/2019,Tough,minutes,673412895892675134154893276487259613935167428261348957319586742548721369726934581
