,Id,People,Average-Time,Sudoku
0,0,292,14,.96..3.4.8.....1..4....6.829....4.....4.5.3..........9.2.8....3..3.....5.8.2..71.
1,1,283,12,..7..34....17528......8.....4.5...3.1.2...5.8.5...8.1.....3......68912....82..6..
2,2,238,30,.6...3.7.....6.1.49.......3..97.45..7...1...9..38.62..4.......25.1.8.....3.4...1.
3,3,274,14,.54....8.....4..7.79...8.....26..1....35..2....1..9..4...3...67.3..5.....8....42.
4,4,244,28,..2...9......425.....751...4.......63.7...8..8......15...287.....951......8.6.7..
5,5,251,27,23..6...8.9.....5.....4....1....4..3..72.15..5..8....2..2.3.....1....9..8...2..47
6,6,264,15,..3.8.4...2.....7.94...52.88..69....4.......7....31..23.95...16.7.....8...1.7.3..
7,7,285,16,3.8..2....7.9.1.........48..61.9.2.74.......57.2...81..36.........7.8.4....5..9.1
8,8,287,12,..96417..78.9....4...3...........27.4.3...8.1.76...........5...6....3.48..57189..
9,9,254,27,..35..7...75.....2.2...7..42..39.....9.....4.....78..318.9...3.9.....42...2..61..
10,10,276,15,...73.4...9.1...8......6.....5.78....49...71....64.......3......1...7.94..3.192..
11,11,252,27,.7...5....2.7..3..5..8.....95..6..3.8.6...1.9.3......7....74..8.....8.6....5...1.
12,12,256,23,.89...17.3.....985....7......5.8....8..7.6..3....4.7...1..2....493.....7.5....43.
13,13,292,16,8...95.....472.6..........3.......7..49...56..3.6.....98...........679...6.41...8
14,14,277,15,...2.1.....5...2.3.8.57..1.7....8..9..86..1..9..4....7.6..8..4.3.9...5.....1.4...
15,15,287,14,...8.31......2.3...27......85.....7.6..4.2..5.......31...9..84...9.6......25.4...
16,16,254,27,..5.4918.....6.....8.7...4..4.835...6.......1...21..7..7...3.1.....8.....3869.2..
17,17,268,18,2...4...5.....7....57...439..6..5..2..8.6.5..5..9..3..671...95....5.....4...7...1
18,18,259,23,...6........1.2.....5.3.42..16.5.74.2.3...6.5.54.7.39..27.8.5.....5.4........1...
19,19,293,20,.4...2.59...........1.4.3...3.15.9..2.......8..9.7..6.....6.7.1.........48.7.9.2.
20,20,270,18,.76............6.2..84.73.....5.9...3.1...5.8...8.1.....2..47..9.42....6......8..
21,21,289,14,87..93.4..........6.3.1..7...6..493....1.5....549..8...1..8.7.4..........3.74..16
22,22,285,13,65.3.......4...3.1...2.8..53.5....4...18.59...2....7.39..6.1...5.6...8.......2.39
23,23,240,29,9....2.1.4.5.9.6.8..8....4...3..8......641......9..2...7....4..1.4.2.5.7.5.8....1
24,24,277,17,3.8...5.7.6..3....2..5.....58..94.7...........4.37...2.....3..4..2.5..6.4.6...2.1
25,25,254,29,5..4.6..8..4.7.3......3.....5.8.7.1..8.....3..7...3.5.....9.2....6...5..1..5....9
26,26,266,22,.3....1......3...9...8.1.....7.94..82.4.....78..21.6.....6.8...1...4.....6...9.5.
27,27,297,14,5..43............313...6.84.6..1.4....3.2.9....1.8..7.71.2...363............68..5
28,28,290,16,..9.3....86.4..53....8..6...1....92....327....75....8...1..8....54..3.16....1.3..
29,29,298,13,..4.3...586.......3....84.6.1.2..8..5.......2..2.13.9.7.58....9.......386...4.2..
30,30,262,25,.2..5....7......31...9.....3...7..545.......784.16...2...2.9...41.....29....1..7.
31,31,269,16,94..3..8..834...5....9.....6...89..3...5.1...5..24...1.....4....9...743..5..2..78
32,32,269,22,...6.4.23....875....7.....686.....5.9....6..7.7.....826.....1....894....43.7.1...
33,33,255,27,.7...2.9..9.67....1..8.3..6...2...1..35...42..6...8...3..5.6..2.....1.6....9.....
34,34,279,14,67.....9...5...7.......3845...139..7..6...9..3..576...1624.......8...4...9.....28
35,35,289,16,18..4..5...5.3....26.9....3......54....173....96......6....1.78....9.1...5..8..64
36,36,277,12,...9......5..4.16.713..........1.8723.......52.9.5...........36.64.2.58......5...
37,37,229,34,.25..746......38...8.....92...63....4....5..8....94...76.....4...23......497..21.
38,38,271,18,.6........732........47.2...4..5.13.2..6....8.56.9..7...4.69........359........8.
39,39,250,29,1.......3..6.3..87.24..........25..9...7.3.6.9..64.....5....2..27..5.9..4.......8
40,40,272,20,98..6..5....834..9.1......4....87....23...48....21....8......4.1..549....5..7..32
41,41,290,15,.4.7...1.769....5.3..9....7....1..9...4.5.8...8..7....9....3..6.5....931.7...4.8.
42,42,276,14,.7..5.21.....7....6...4...9.92..6.....5...1.....1..82.3...1...2.....83...59.3..7.
43,43,276,15,..729.8..83......4......57..9.6...5....983....2...5.9..42......7......61..3.572..
44,44,251,24,.4...7.5..2.5...1...39..6.......2..62.4.5.7.31..8.......5..14...8...9.3..3.4...9.
45,45,272,16,.8.3.19......4...643.....1...472.....1.5.9.2.....146...4.....821...8......61.7.5.
46,46,246,28,6..41....3....8.49....9.2......3.4..9..742..3..1.6......6.7....15.9....4.....3..1
47,47,275,20,6...7.....294.61...5....4....289..7....6.7....7..452....3....4...45.931.....3...5
48,48,271,18,5.9.3.....7......2...5..41...42.31.............34956...82..6...7......4..3..8...6
49,49,271,18,7.4.......5.....3..31.7......51.48..9...5...2..39.6......38.96..9.....2.......4.7
50,50,266,19,1..3.6.2..4....95.7......869..5.1...............6.3.9225........83....1..7.4.8..9
51,51,259,27,9..7.5...5...1....741.....9.5...3.8...4...7...7.9...1.6.....428....9...64..3.6..7
52,52,263,19,97..1..6....2....8.2...8....1..2587.....9.....9786..2....9...8.6....4....8.....13
53,53,268,24,.84....3......1...5..78.....7..6..2...5.9.64..9..4..8.....28..4...6......68....9.
